FASTWEB-fd6deP;WOW FI - FASTWEB;D-Link-EAAFB1;INCENTIVE;Vodafone-WiFi;FASTWEB-H6D6XP;Grillandia;ginger;CLASSE(Stanza)
-69;-69;-79;-80;-77;-100;-100;-75;1
-69;-65;-80;-77;-76;-100;-100;-100;1
-67;-69;-82;-78;-74;-100;-90;-76;1
-65;-67;-80;-79;-80;-92;-100;-79;1
-69;-69;-79;-79;-72;-100;-100;-77;1
-71;-73;-81;-79;-71;-100;-100;-82;1
-71;-71;-83;-76;-70;-100;-100;-73;1
-72;-71;-80;-75;-70;-100;-100;-76;1
-74;-73;-100;-75;-80;-100;-100;-81;1
-61;-67;-81;-78;-70;-100;-100;-71;1
-71;-72;-65;-75;-70;-100;-100;-71;1
-70;-72;-69;-72;-69;-100;-100;-75;1
-73;-73;-65;-74;-70;-100;-100;-75;1
-71;-71;-65;-74;-71;-100;-100;-74;1
-71;-72;-65;-75;-70;-100;-100;-73;1
-71;-70;-64;-74;-70;-100;-100;-75;1
-69;-69;-74;-72;-100;-100;-85;-78;1
-65;-66;-86;-76;-73;-91;-100;-71;1
-65;-65;-86;-75;-73;-91;-100;-70;1
-66;-66;-73;-74;-74;-100;-100;-71;1
-66;-64;-86;-74;-74;-90;-100;-72;1
-63;-63;-76;-75;-74;-82;-100;-78;1
-63;-63;-73;-73;-74;-91;-100;-70;1
-65;-64;-73;-73;-73;-86;-100;-71;1
-62;-62;-73;-76;-73;-91;-100;-71;1
-62;-62;-61;-73;-65;-88;-100;-100;1
-63;-64;-73;-76;-74;-100;-100;-72;1
-63;-63;-60;-75;-74;-78;-100;-70;1
-61;-64;-72;-71;-75;-100;-80;-81;1
-64;-64;-87;-100;-76;-100;-100;-78;1
-62;-63;-70;-83;-76;-100;-80;-100;1
-63;-63;-69;-100;-76;-100;-76;-83;1
-63;-63;-71;-100;-77;-100;-75;-100;1
-63;-64;-70;-100;-76;-100;-100;-81;1
-64;-64;-75;-84;-76;-100;-78;-81;1
-64;-64;-69;-84;-87;-100;-77;-83;1
-67;-68;-69;-83;-76;-100;-81;-85;1
-68;-67;-69;-83;-75;-100;-100;-100;1
-69;-68;-69;-100;-65;-100;-77;-83;1
-68;-67;-70;-82;-77;-100;-78;-100;1
-66;-66;-68;-82;-77;-100;-79;-77;1
-65;-66;-69;-83;-76;-100;-100;-80;1
-68;-68;-70;-100;-78;-100;-79;-100;1
-68;-68;-71;-83;-78;-100;-74;-78;1
-69;-67;-73;-83;-78;-100;-80;-100;1
-68;-66;-69;-83;-78;-100;-80;-80;1
-67;-68;-70;-100;-77;-100;-78;-79;1
-69;-70;-71;-81;-78;-100;-77;-81;1
-65;-69;-72;-100;-78;-100;-78;-100;1
-65;-66;-65;-83;-76;-100;-78;-80;1
-65;-92;-69;-83;-78;-100;-100;-100;1
-64;-65;-74;-82;-87;-100;-100;-81;1
-65;-66;-69;-82;-77;-100;-100;-100;1
-64;-66;-69;-82;-76;-100;-100;-100;1
-67;-66;-71;-82;-76;-100;-79;-80;1
-66;-70;-70;-81;-76;-100;-100;-100;1
-66;-66;-66;-75;-69;-100;-86;-76;1
-65;-65;-67;-70;-72;-100;-100;-78;1
-66;-67;-68;-70;-70;-89;-100;-77;1
-66;-66;-65;-69;-69;-89;-100;-79;1
-70;-70;-67;-69;-71;-100;-100;-80;1
-70;-67;-65;-70;-72;-100;-100;-77;1
-70;-69;-65;-72;-70;-91;-100;-75;1
-71;-72;-66;-70;-71;-100;-100;-75;1
-70;-71;-65;-71;-74;-100;-100;-77;1
-73;-72;-76;-78;-72;-100;-100;-80;1
-68;-67;-77;-79;-72;-100;-100;-70;1
-65;-66;-69;-76;-67;-92;-100;-76;1
-63;-62;-76;-82;-89;-100;-100;-73;1
-67;-72;-71;-74;-70;-100;-100;-74;1
-64;-64;-74;-79;-70;-100;-88;-63;1
-71;-72;-68;-80;-75;-100;-100;-75;1
-68;-69;-78;-68;-77;-100;-100;-100;1
-75;-74;-77;-75;-77;-100;-89;-82;1
-70;-70;-72;-76;-75;-100;-100;-84;1
-69;-70;-73;-76;-67;-100;-100;-85;1
-72;-72;-83;-89;-73;-100;-100;-74;1
-71;-71;-77;-90;-75;-100;-100;-75;1
-70;-70;-76;-88;-74;-100;-100;-76;1
-67;-67;-75;-89;-74;-100;-100;-78;1
-69;-69;-75;-88;-75;-100;-100;-76;1
-71;-70;-77;-91;-75;-100;-91;-76;1
-70;-70;-74;-88;-74;-100;-100;-77;1
-71;-71;-76;-91;-73;-100;-100;-76;1
-67;-67;-72;-79;-77;-92;-90;-85;1
-54;-57;-100;-75;-69;-81;-78;-83;1
-56;-56;-83;-77;-78;-87;-89;-89;1
-54;-54;-84;-74;-76;-85;-89;-100;1
-56;-55;-85;-77;-78;-86;-100;-86;1
-54;-54;-100;-77;-76;-100;-88;-89;1
-54;-54;-90;-76;-70;-86;-88;-88;1
-53;-54;-85;-76;-77;-87;-89;-86;1
-54;-54;-85;-76;-76;-88;-100;-85;1
-54;-54;-89;-77;-77;-87;-89;-100;1
-54;-54;-85;-76;-75;-86;-94;-87;1
-55;-54;-87;-74;-79;-87;-100;-86;1
-62;-62;-84;-79;-77;-88;-100;-87;1
-62;-62;-85;-76;-78;-88;-100;-86;1
-63;-63;-83;-77;-77;-100;-90;-86;1
-62;-63;-84;-76;-78;-87;-86;-87;1
-63;-63;-82;-77;-78;-89;-87;-100;1
-62;-62;-86;-76;-78;-87;-88;-87;1
-63;-62;-81;-77;-78;-87;-86;-86;1
-64;-63;-89;-77;-73;-85;-100;-86;1
-49;-49;-77;-72;-73;-85;-75;-79;1
-52;-52;-71;-81;-70;-87;-75;-85;1
-54;-54;-81;-100;-69;-92;-79;-80;1
-59;-58;-80;-74;-73;-81;-83;-86;1
-57;-55;-74;-74;-75;-87;-80;-75;1
-56;-56;-73;-74;-73;-87;-81;-74;1
-60;-58;-72;-77;-71;-86;-80;-79;1
-65;-65;-71;-85;-80;-92;-85;-71;1
-63;-65;-72;-80;-80;-93;-100;-81;1
-65;-66;-74;-83;-82;-100;-86;-83;1
-66;-66;-84;-71;-83;-100;-82;-82;1
-59;-59;-82;-70;-74;-88;-77;-88;1
-73;-72;-68;-72;-71;-100;-88;-74;1
-66;-67;-80;-81;-78;-100;-88;-76;1
-64;-65;-88;-78;-75;-100;-100;-100;1
-66;-67;-81;-80;-73;-100;-100;-77;1
-64;-64;-67;-68;-73;-100;-85;-78;1
-64;-64;-72;-80;-76;-100;-100;-100;1
-65;-64;-85;-81;-74;-100;-85;-79;1
