FASTWEB-fd6deP;WOW FI - FASTWEB;D-Link-EAAFB1;INCENTIVE;Vodafone-WiFi;FASTWEB-H6D6XP;Grillandia;ginger;CLASSE(Stanza)
-65;-65;-73;-82;-76;-100;-88;-100;2
-43;-44;-84;-66;-82;-75;-82;-100;2
-46;-46;-81;-67;-85;-76;-82;-100;2
-46;-46;-83;-66;-86;-76;-83;-100;2
-46;-46;-85;-66;-87;-76;-83;-100;2
-46;-46;-100;-66;-87;-76;-85;-100;2
-47;-46;-88;-66;-89;-75;-81;-100;2
-46;-47;-86;-67;-85;-76;-80;-92;2
-45;-43;-100;-67;-83;-76;-80;-100;2
-49;-50;-79;-100;-81;-77;-85;-100;2
-48;-48;-80;-73;-82;-77;-83;-100;2
-48;-48;-84;-72;-81;-77;-83;-100;2
-49;-48;-82;-73;-82;-77;-83;-100;2
-48;-48;-76;-72;-82;-77;-82;-100;2
-49;-48;-74;-73;-80;-78;-82;-100;2
-48;-49;-78;-73;-80;-76;-82;-90;2
-49;-49;-79;-71;-82;-78;-82;-91;2
-49;-48;-78;-73;-83;-77;-82;-90;2
-48;-49;-77;-73;-81;-77;-83;-91;2
-49;-48;-78;-72;-81;-76;-82;-100;2
-49;-49;-79;-73;-81;-78;-84;-92;2
-49;-49;-79;-72;-83;-76;-100;-91;2
-49;-49;-83;-73;-81;-76;-83;-91;2
-48;-48;-78;-71;-82;-78;-82;-90;2
-48;-48;-100;-68;-78;-77;-82;-93;2
-47;-47;-77;-72;-83;-77;-84;-92;2
-48;-48;-79;-73;-81;-74;-81;-91;2
-51;-51;-71;-81;-79;-78;-76;-88;2
-47;-48;-67;-75;-80;-100;-78;-100;2
-47;-48;-67;-77;-79;-85;-77;-87;2
-49;-49;-68;-77;-79;-87;-77;-88;2
-49;-49;-68;-79;-80;-86;-81;-87;2
-48;-49;-67;-80;-80;-85;-78;-89;2
-49;-48;-73;-80;-79;-89;-77;-89;2
-48;-50;-69;-80;-79;-100;-76;-88;2
-49;-48;-68;-80;-80;-86;-78;-88;2
-49;-48;-69;-79;-80;-87;-77;-100;2
-48;-49;-67;-80;-80;-88;-77;-87;2
-48;-49;-70;-80;-80;-87;-76;-88;2
-47;-48;-69;-79;-80;-86;-81;-89;2
-49;-49;-67;-80;-81;-85;-76;-87;2
-50;-50;-68;-80;-79;-86;-76;-87;2
-50;-50;-68;-78;-80;-85;-77;-89;2
-51;-51;-68;-78;-80;-85;-78;-89;2
-50;-51;-68;-75;-78;-84;-80;-87;2
-52;-51;-67;-78;-79;-87;-81;-88;2
-49;-50;-68;-77;-79;-87;-78;-87;2
-51;-51;-68;-78;-77;-85;-79;-87;2
-41;-40;-76;-75;-81;-72;-82;-88;2
-45;-45;-88;-67;-83;-71;-80;-100;2
-46;-47;-83;-65;-82;-71;-80;-89;2
-46;-46;-84;-65;-74;-68;-81;-100;2
-47;-49;-87;-65;-82;-70;-80;-100;2
-46;-46;-100;-65;-83;-72;-80;-100;2
-44;-45;-83;-67;-76;-70;-79;-100;2
-45;-45;-85;-68;-83;-68;-81;-100;2
-46;-45;-87;-67;-83;-69;-80;-100;2
-47;-45;-85;-66;-84;-71;-79;-100;2
-46;-47;-88;-65;-76;-71;-79;-100;2
-30;-30;-89;-65;-83;-73;-87;-100;2
-43;-42;-86;-62;-83;-61;-83;-100;2
-42;-41;-100;-62;-81;-73;-81;-100;2
-43;-41;-85;-64;-100;-73;-100;-100;2
-42;-42;-100;-64;-74;-74;-80;-91;2
-40;-41;-100;-63;-82;-74;-81;-100;2
-41;-40;-100;-63;-100;-73;-82;-100;2
-38;-36;-100;-66;-82;-68;-79;-100;2
-46;-46;-100;-68;-82;-80;-79;-100;2
-46;-46;-100;-67;-80;-80;-78;-100;2
