FASTWEB-fd6deP;WOW FI - FASTWEB;D-Link-EAAFB1;INCENTIVE;Vodafone-WiFi;FASTWEB-H6D6XP;Grillandia;ginger;CLASSE(Stanza)
-62;-62;-100;-76;-69;-69;-64;-100;3
-62;-61;-85;-86;-70;-65;-67;-100;3
-59;-60;-79;-84;-70;-68;-59;-100;3
-58;-59;-100;-84;-68;-75;-58;-100;3
-63;-61;-87;-89;-68;-71;-66;-100;3
-57;-58;-85;-78;-60;-63;-59;-100;3
-54;-55;-100;-85;-69;-61;-67;-100;3
-55;-55;-78;-100;-67;-70;-63;-85;3
-59;-60;-78;-83;-61;-68;-67;-100;3
-55;-54;-75;-82;-69;-68;-63;-100;3
-57;-56;-100;-82;-74;-66;-59;-100;3
-59;-59;-100;-86;-76;-75;-63;-100;3
-59;-59;-100;-100;-80;-58;-62;-100;3
-56;-55;-100;-100;-68;-56;-58;-100;3
-56;-58;-100;-100;-68;-62;-62;-100;3
-53;-54;-100;-79;-71;-64;-70;-100;3
-53;-54;-100;-79;-71;-64;-70;-100;3
-51;-49;-100;-100;-62;-73;-66;-100;3
-52;-53;-100;-70;-72;-64;-69;-100;3
-57;-57;-83;-77;-66;-73;-71;-100;3
-48;-49;-74;-100;-63;-72;-62;-100;3
-60;-60;-82;-72;-60;-61;-51;-100;3
-59;-64;-79;-100;-79;-63;-73;-100;3
-58;-63;-83;-100;-64;-72;-68;-100;3
-62;-63;-100;-100;-71;-66;-55;-100;3
-54;-59;-71;-100;-62;-74;-63;-100;3
-54;-59;-71;-100;-62;-74;-63;-100;3
-63;-60;-100;-72;-72;-58;-64;-100;3
-60;-59;-100;-81;-64;-72;-62;-100;3
-56;-57;-100;-79;-78;-70;-72;-100;3
-60;-59;-100;-75;-63;-67;-63;-100;3
-53;-54;-100;-100;-72;-66;-64;-100;3
-63;-63;-72;-81;-62;-69;-59;-100;3
-63;-63;-82;-80;-71;-67;-65;-100;3
-58;-57;-78;-79;-71;-71;-68;-100;3
-59;-59;-89;-78;-66;-62;-71;-100;3
-60;-59;-89;-77;-62;-62;-63;-100;3
-56;-56;-79;-89;-63;-63;-62;-100;3
-57;-57;-92;-85;-66;-66;-59;-100;3
-56;-56;-82;-85;-65;-69;-68;-100;3
-56;-55;-100;-87;-67;-68;-72;-100;3
-60;-59;-87;-86;-71;-68;-71;-93;3
-55;-54;-81;-89;-75;-61;-61;-100;3
-55;-56;-100;-91;-70;-72;-68;-100;3
-57;-58;-100;-78;-71;-67;-64;-87;3
-53;-53;-86;-77;-73;-67;-74;-90;3
-56;-54;-88;-76;-62;-57;-71;-100;3
-65;-61;-100;-89;-71;-61;-61;-100;3
-58;-58;-100;-82;-70;-68;-65;-88;3
-62;-62;-100;-78;-74;-67;-70;-93;3
-53;-53;-100;-81;-66;-74;-69;-100;3
-52;-53;-81;-81;-72;-72;-67;-91;3
-55;-55;-90;-78;-67;-68;-63;-91;3
-59;-59;-100;-83;-67;-78;-56;-91;3
-61;-61;-86;-81;-65;-62;-61;-100;3
-54;-55;-77;-79;-64;-67;-66;-86;3
-59;-59;-87;-84;-64;-60;-59;-100;3
-57;-57;-70;-80;-69;-67;-69;-100;3
-61;-61;-74;-82;-76;-67;-67;-91;3
-58;-58;-82;-78;-68;-70;-60;-87;3
-65;-66;-82;-89;-75;-92;-87;-78;3
-67;-67;-79;-88;-77;-100;-100;-82;3
-66;-65;-77;-89;-78;-100;-100;-80;3
-55;-54;-84;-84;-67;-61;-63;-100;3
-60;-59;-80;-78;-66;-61;-62;-100;3
-58;-58;-83;-85;-63;-72;-65;-100;3
-56;-57;-100;-69;-83;-68;-68;-100;3
-61;-62;-85;-74;-62;-65;-62;-100;3
-70;-62;-86;-75;-63;-66;-65;-100;3
-55;-55;-78;-78;-73;-67;-63;-100;3
-59;-59;-100;-82;-68;-69;-67;-100;3
-56;-56;-83;-100;-64;-62;-75;-100;3
-58;-59;-83;-74;-69;-65;-61;-94;3
-58;-59;-85;-70;-72;-63;-63;-100;3
-57;-59;-77;-77;-73;-69;-62;-100;3
-54;-56;-83;-85;-70;-76;-66;-88;3
-63;-60;-100;-80;-62;-66;-64;-100;3
-56;-55;-83;-79;-60;-64;-64;-91;3
-63;-63;-84;-72;-73;-67;-62;-100;3
-61;-60;-78;-80;-73;-69;-68;-88;3
-59;-58;-87;-77;-68;-72;-67;-100;3
-57;-58;-100;-80;-61;-68;-64;-87;3
-65;-62;-74;-100;-65;-73;-62;-93;3
-60;-58;-100;-67;-61;-68;-66;-100;3
-54;-55;-85;-79;-71;-63;-62;-100;3
-54;-53;-77;-76;-67;-68;-67;-100;3
-59;-58;-78;-81;-64;-76;-55;-91;3
-60;-60;-75;-87;-67;-63;-62;-83;3
-61;-60;-89;-71;-71;-67;-66;-100;3
-58;-58;-100;-73;-65;-58;-72;-100;3
-56;-57;-82;-85;-58;-68;-68;-100;3
-66;-66;-100;-85;-72;-72;-68;-100;3
-60;-61;-81;-79;-59;-71;-64;-100;3
-63;-62;-86;-84;-68;-66;-57;-100;3
