FASTWEB-fd6deP;WOW FI - FASTWEB;D-Link-EAAFB1;INCENTIVE;Vodafone-WiFi;TIM_MF920V_97FE;FASTWEB-H6D6XP;Grillandia;ginger;CLASSE(Stanza)
-67;-70;-73;-86;-77;-53;-94;-90;-85;1
-69;-70;-68;-76;-71;-54;-94;-90;-85;1
-66;-66;-73;-100;-73;-55;-94;-90;-85;1
-65;-66;-72;-83;-75;-56;-94;-90;-85;1
-62;-68;-72;-75;-70;-57;-94;-90;-85;1
-74;-72;-74;-81;-70;-58;-94;-90;-85;1
-65;-72;-86;-100;-100;-59;-94;-90;-85;1
-71;-70;-75;-76;-73;-60;-94;-90;-85;1
-64;-66;-66;-100;-71;-61;-94;-90;-85;1
-57;-60;-70;-84;-67;-62;-94;-90;-85;1
-64;-64;-75;-100;-73;-63;-94;-90;-85;1
-61;-60;-85;-79;-79;-64;-94;-90;-85;1
-61;-60;-85;-79;-79;-65;-94;-90;-85;1
-48;-48;-87;-69;-71;-66;-94;-90;-85;1
-50;-50;-77;-68;-71;-67;-94;-90;-85;1
-73;-73;-78;-78;-75;-68;-94;-90;-85;1
-61;-62;-68;-76;-76;-69;-94;-90;-85;1
-63;-64;-70;-73;-70;-70;-94;-90;-85;1
-54;-56;-71;-77;-68;-71;-94;-90;-85;1
-56;-57;-72;-76;-69;-72;-94;-90;-85;1
-49;-49;-80;-71;-84;74;-77;-78;-100;2
-48;-49;-75;-72;-78;-75;-77;-78;-100;2
-43;-43;-75;-67;-77;-76;-77;-78;-100;2
-45;-46;-79;-62;-80;-77;-77;-78;-100;2
-47;-48;-80;-72;-88;-78;-77;-78;-100;2
-38;-39;-82;-75;-86;-79;-77;-78;-100;2
-48;-48;-100;-67;-88;-80;-77;-78;-100;2
-41;-41;-81;-81;-73;-81;-77;-78;-100;2
-48;-48;-89;-72;-79;-82;-77;-78;-100;2
-40;-41;-100;-78;-84;-83;-77;-78;-100;2
-38;-38;-79;-68;-80;-84;-77;-78;-100;2
-44;-45;-84;-75;-76;-85;-77;-78;-100;2
-51;-50;-74;-79;-67;-86;-77;-78;-100;2
