FASTWEB-fd6deP;WOW FI - FASTWEB;D-Link-EAAFB1;INCENTIVE;Vodafone-WiFi;FASTWEB-H6D6XP;Grillandia;ginger;CLASSE(Stanza)
-57;-57;-74;-72;-73;-86;-81;-80;3
-57;-57;-74;-72;-73;-86;-81;-80;3
-42;-43;-100;-72;-80;-79;-85;-100;3
-44;-44;-90;-72;-81;-74;-83;-100;3
-43;-44;-82;-72;-80;-79;-86;-100;3
-45;-44;-83;-72;-82;-80;-81;-100;3
-44;-44;-100;-100;-80;-80;-100;-100;3
-45;-45;-84;-72;-81;-78;-84;-92;3
-45;-45;-83;-70;-80;-80;-83;-100;3
-44;-44;-87;-83;-76;-79;-85;-100;3
-45;-46;-86;-100;-81;-81;-83;-100;3
-44;-45;-85;-72;-80;-80;-87;-100;3
-42;-42;-84;-71;-79;-79;-86;-100;3
-43;-42;-86;-73;-79;-78;-86;-90;3
-41;-41;-100;-71;-100;-79;-85;-100;3
-42;-42;-90;-70;-80;-79;-85;-100;3
-50;-49;-85;-72;-87;-83;-84;-100;3
-52;-52;-100;-71;-87;-79;-87;-100;3
-46;-48;-100;-71;-82;-89;-85;-100;3
-44;-44;-84;-73;-79;-85;-86;-100;3
-47;-48;-100;-66;-81;-79;-85;-100;3
-54;-52;-82;-67;-86;-86;-89;-100;3
-52;-54;-83;-63;-83;-79;-82;-100;3
-50;-51;-81;-64;-83;-80;-82;-100;3
-52;-51;-83;-64;-84;-80;-83;-100;3
-51;-51;-83;-67;-83;-80;-81;-100;3
-51;-51;-87;-67;-83;-80;-100;-100;3
-52;-51;-85;-70;-84;-80;-100;-90;3
-50;-51;-90;-70;-100;-80;-100;-100;3
-53;-53;-83;-63;-84;-81;-82;-100;3
-51;-51;-88;-70;-83;-81;-82;-90;3
-52;-52;-83;-76;-84;-100;-81;-91;3
-51;-51;-100;-70;-83;-80;-82;-100;3
-51;-51;-86;-64;-100;-81;-100;-90;3
-51;-51;-100;-73;-83;-80;-81;-100;3
-52;-51;-84;-70;-84;-79;-87;-90;3
-49;-50;-85;-67;-85;-79;-87;-100;3
-49;-50;-83;-65;-85;-80;-82;-100;3
-49;-50;-85;-73;-87;-81;-82;-100;3
-51;-49;-87;-67;-86;-70;-84;-100;3
